丷		xx5	/one of the characters used in kwukyel, an ancient Korean writing system/
丸		wan2	/ball/pellet/pill/
丹		dan1	/red/pellet/powder/cinnabar/
主		zhu3	/owner/master/host/individual or party concerned/God/Lord/main/to indicate or signify/trump card (in card games)/
丼		dong4	/(Tw) bowl of boiled rice with other food on top (loanword from Japanese "donburi")/
丼		jing3	/old variant of 井[jing3]/
丿		pie3	/radical in Chinese characters (Kangxi radical 4)/see 撇[pie3]/
乀		fu2	/stretch/
乀		pie3	/variant of 丿[pie3]/
乂		yi4	/to regulate/to govern/to control/to mow/
乃		nai3	/to be/thus/so/therefore/then/only/thereupon/
久		jiu3	/(long) time/(long) duration of time/
乆		jiu3	/archaic variant of 久[jiu3]/
乇		tuo1	/archaic variant of 托[tuo1]/
乇		zhe2	/"blade of grass" component in Chinese characters/
么		Yao1	/surname Yao/
么		yao1	/youngest/most junior/tiny/one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military)/one or ace on dice or dominoes/variant of 吆[yao1], to shout/
乊		xx5	/one of the characters used in kwukyel (phonetic "ho"), an ancient Korean writing system/
之		zhi1	/(possessive particle, literary equivalent of 的[de5])/him/her/it/
乍		zha4	/at first/suddenly/abruptly/to spread/(of hair) to stand on end/bristling/
乎		hu1	/(classical particle similar to 於|于[yu2]) in/at/from/because/than/(classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)/
乏		fa2	/short of/tired/
乑		zhong4	/to stand side by side/variant of 眾|众[zhong4]/
乒		ping1	/(onom.) ping/bing/
乓		pang1	/(onom.) bang/
乕		hu3	/archaic variant of 虎[hu3]/
乖		guai1	/(of a child) obedient, well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal/
乗		cheng2	/Japanese variant of 乘[cheng2]/
乘		Cheng2	/surname Cheng/
乘		cheng2	/to ride/to mount/to make use of/to avail oneself of/to take advantage of/to multiply (math.)/Buddhist sect or creed/
乘		sheng4	/four horse military chariot (archaic)/four (archaic)/generic term for history books/
乙		yi3	/second of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/second in order/letter "B" or Roman "II" in list "A, B, C", or "I, II, III" etc/second party (in legal contract, usually 乙方[yi3 fang1], as opposed to 甲方[jia3 fang1])/ethyl/bent/winding/radical in Chinese characters (Kangxi radical 5)/ancient Chinese compass point: 105°/
乙		zhe2	/turning stroke (in Chinese characters)/see also 折[zhe2]/
乚		ya4	/component in Chinese characters/archaic variant of 毫[hao2]/archaic variant of 乙[yi3]/
乛		zhe2	/variant of 乙[zhe2]/
乜		mie1	/to squint/what? (Cantonese)/see also 乜嘢[mie1 ye3]/
九		jiu3	/nine/9/
乞		qi3	/to beg/
也		Ye3	/surname Ye/
也		ye3	/also/too/(in Classical Chinese) final particle implying affirmation/
乢		gai4	/ancient variant of 蓋|盖[gai4]/ancient variant of 丐[gai4]/
乣		jiu3	/archaic variant of 糺[jiu3]/
乤		xx5	/first character in place name 乤浦 "Halpho" (Korean gugja)/
乥		xx5	/one of the characters used in kwukyel (phonetic "hol"), an ancient Korean writing system/
乧		xx5	/archaic Korean hanja pronounced dul, phonetic 斗 du plus 乙 ul/
乨		shi3	/archaic variant of 始[shi3]/
乩		ji1	/to divine/
乪		nang1	/a bend in a river (Cantonese)/
乫		xx5	/phonetic "gal" used in place names (Korean gugja)/
乭		shi2	/rock/phonetic "dol" used in names (Korean kugja)/
乳		ru3	/breast/milk/
乴		xue2	/to grasp/
乵		yan3	/archaic variant of 進|进[jin4]/
乶		Fu3	/phonetic pol, used in Korean place name/see Polha 乶下[Fu3 xia4], Korean place name in former Hamgyeongdo Province 咸鏡道|咸镜道[Xian2 jing4 dao4]/
乷		xx5	/phonetic "sal" (Korean gugja)/
乸		na3	/feminine suffix (Cantonese)/postfix indicating feminine/
乹		gan1	/old variant of 乾|干[gan1]/
乹		qian2	/old variant of 乾[qian2]/
乺		xx5	/phonetic "sol" used in place names (Korean gugja)/
乼		xx5	/rope (Korean gugja)/
乾		Gan1	/surname Gan/
乾		Qian2	/surname Qian/
乾		gan1	/dry/clean/in vain/dried food/foster/adoptive/to ignore/
乾		qian2	/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven/male principle/☰/ancient Chinese compass point: 315° (northwest)/
乿		luan4	/archaic variant of 亂|乱[luan4]/
乿		zhi4	/archaic variant of 治[zhi4]/
亀		gui1	/old variant of 龜|龟[gui1]/
亁		gan1	/variant of 乾|干[gan1]/
亁		qian2	/variant of 乾[qian2]/
亂		luan4	/in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary/
亃		lin2	/mythical animal, said to have yellow body and white tail/
亄		yi4	/covetous/greedy/stingy/
亅		jue2	/"vertical stroke with hook" radical in Chinese characters (Kangxi radical 6)/see also 豎鉤|竖钩[shu4 gou1]/
了		le5	/(completed action marker)/(modal particle indicating change of state, situation now)/(modal particle intensifying preceding clause)/
了		liao3	/to finish/to achieve/variant of 瞭|了[liao3]/to understand clearly/
亇		ge4	/variant of 個|个[ge4]/
予		yu2	/(archaic) I/me/
予		yu3	/to give/
亊		shi4	/variant of 事[shi4]/
事		shi4	/matter/thing/item/work/affair/CL:件[jian4],樁|桩[zhuang1],回[hui2]/
二		er4	/two/2/(Beijing dialect) stupid/
